id,clip_filename,duration,reviewed_sheng_transcript,original_asr_transcript,audio_filepath,source_origin
sheng_rev_0011,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00019.wav,2.7,Rokit with pride. Okay!,Rokit with pride. Okay!,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00019.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0012,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00020.wav,12.65,Nyambu muna pohintiwa sabi. Nyambu muna sema iya lishika imeku wa ngozi. Atoi? Analala nayo.,Nyambu muna pohintiwa sabi. Nyambu muna sema iya lishika imeku wa ngozi. Atoi? Atoi? Analala nayo.,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00020.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0013,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00022.wav,13.61,"Ah nyambuwe usiambiwe. We're piga. Ah imkwani ikonini. Ah very nice. Okay. Now, ii episodia leo, in fact.","Ah nyambuwe usiambiwe. We're piga. Piga. Ah imkwani ikonini. Ah very nice. Okay. Now, ii episodia leo, in fact.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00022.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0014,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00023.wav,10.78,"Neme ipitiya? Wala isi yami ni. Watuwangu wa tek ni yambieni kama isi bitu ni possible. Jumi nili kwa, neme fukamali ni kanza kuna. Isi yaba hii.","Neme ipitiya? Wala isi yami ni. Watuwangu wa tek ni yambieni kama isi bitu ni possible. Jumi ni, nili kwa, neme fukamali ni kanza kuna. Isi yaba hii.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00023.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0015,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00024.wav,11.08,"Juhu ei kukuna vidumutu watu etu wa mefainiyu apa maa jabu. Na juna juhu anikuna watu teka tarisana. In fact, anytime saiteki wa naka nomakidogo kuna tukiko siya teki wa Mkurugenzi.","Juhu ei kukuna vidumutu watu etu wa mefainiyu apa maa jabu. Na juna juhu anikuna watu watu teka tarisana. In fact, anytime saiteki wa naka nomakidogo kuna tukiko siya teki wa kuru genzi.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00024.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0016,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00026.wav,6.08,"Nini ambiyeni kama ikitu niposibol, kama niposibol wa tutu wa kuwe kiafula pa inje. So kuna boy flani.","Nini ambiyeni kama ikitu niposibol, kama niposibol wa tutu wa kuwe kiafula pa inje. So kuna boy flani.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00026.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0017,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00027.wav,8.34,"Amemaliza Chuo Fiti. I think ame ingi akampo, ame pigama ingenia ringza kaisafia amemaliza, lakini sunad yua situation bila iku pokaziki dogo triki.","Amemaliza Chuo Fiti. I think ame ingi akampo, ame pigama ingenia ringza kaisafia amemaliza, lakini sunad yua situation bila iku pokaziki dogo triki.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00027.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0018,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00028.wav,11.97,"So skumoja kiwame bangehiza palia, one of his uncles anakam, nani uncle anapendam baya, wana jwa kila familie na koga, na ule angkoflani he, anakwa ga, yaa kakwetusi wana johu angkoni nani.","So skumoja kiwame bangehiza bangehiza palia, one of his uncles anakam, nani uncle anapendam baya, wana jwa kila familie na koga, na ule angkoflani he, anakwa ga, yaa kakwetusi wana johu angkoni nani.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00028.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0019,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00029.wav,11.7,"Ya ni haki tokiyada. Aa, muna diwa, hey! Anko wa mafo! Okay, so... Anko akakam... akam shojo, hey mitu anko.","Ya ni haki tokiyada. Aa, muna diwa, hey! Anko wa mafo! Okay, so... Anko akakam... akam shojo, hey mitu anko.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00029.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0020,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00032.wav,13.47,"Ana pretenda nata kakununu asimu den kidogo sidi ya meyenda kutakta waifa yoa pichua ya meyenda. So yundi wo shugli ankomiku wa kipigenamiku wa kivunambaya. Juhie anata get two high-end phones, specially Android.","Ana pretenda nata kakununu asimu den kidogo kidogo sidi ya meyenda kutakta waifa yoa pichua ya meyenda. So yundi wo shugli ankomiku wa kipigenamiku wa kivunambaya. Juhie anata get two high-end phones, specially Android.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00032.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0021,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00033.wav,12.38,"So, sijuka manazi yuza Fupal samanini, eh, but eh, alikwame kimbizawa se, alikwana ishi fiti sana. Garimbili, hawpua, tatu bedrum lakini, ako peki aken nani special sufi, yani alikwana staypua.","So, sijuka manazi yuza Fupal samanini, eh, but eh, eh, alikwame kimbizawa se, alikwana ishi fiti sana. Garimbili, hawpua, tatu bedrum lakini, ako peki aken nani special sufi, yani alikwana staypua.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00033.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0022,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00034.wav,11.97,"So, kijanaka ona ile maisha ujjama na isi yaka atami na takad yo. So, that is how he was recruited. So, aka ingeyo, shugli na wali kuwa na pigeyo, ninae na wali kuwa na buna dedli, utapatai na wik, wame lalisha kitu kama mi ambili.","So, kijanaka ona ile maisha ujjama na isi yaka atami na takad yo. So, that is how he was recruited. So, aka ingeyo, shugli na wali kuwa na pigeyo, ni ninae na wali kuwa na buna dedli, utapatai na wik, wame lalisha kitu kama mi ambili.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00034.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0023,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00035.wav,11.01,"Eh, like, uki kambaya, uki mojata zahidi wa nai giza. So, inu ikakwaga routine. Bakapa lehom maliyuki janawe tumdoga me toka.","Eh, like, uki kambaya, uki mojata zahidi wa nai giza. So, inu ikakwaga routine. Bakapa lehom maliyuki janawe tumdoga me toka.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00035.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0024,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00036.wav,10.78,"Watoa kanza kunutis, hei boi wei tu mamboa kei memfunguki ya, hei ya na kuna viletua kosao. So skumodja mazeho wame ingia sugli kama kao, wame ingia kwa metandao.","Watoa kanza kunutis, hei, hei boi wei tu mamboa kei memfunguki ya, hei ya na kuna viletua kosao. So skumodja mazeho wame ingia sugli kama kao, wame ingia kwa metandao.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00036.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0025,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00038.wav,11.6,"Amani 15. I think ni 14 nili kwa ju. So li kwa na wuza iyo. Na samsa nia iyo times, junior S21 li kwa ni 2014. Ah, see 2014, 2024. Sorry. 2024.","Amani 15. I think ni 14 nili kwa ju. So li kwa na wuza iyo. Na samsa nia iyo times, junior S21 li kwa ni 2014. Ah, see 2014, 2024. Sorry. 2024.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00038.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0026,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00039.wav,13.93,"So, wama nda wama organiza feety meeting wama kutana. Then, maliwana kutana iliku wa samu ya pa thika road. So, sigiwa liku wana iliki ya kwa hoteli ikon dania mall. Ya, I think bilen dania mall kuna kwa gana nini kwa food court.","So, wama nda wama organiza feety meeting wama kutana. Then, maliwana kutana iliku wa samu ya pa thika road. So, sigiwa liku wana iliki ya kwa hoteli ikon dania mall. Ya, I think bilen dania mall kuna kwa gana nini kwa food court.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00039.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0027,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00040.wav,11.04,"I think so. I'm at the hotel na kwa gapa chinikuwa, ground floor. So, ame kutana pale maze, kwanza ama boyutu wa kawna ujama kishuka, nabagia kia laptop na masimumbili kwanfuku.","I think so. I'm at the hotel na kwa gapa chinikuwa, ground floor. So, ame kutana pale maze, kwanza ama boyutu wa kawna ujama kishuka, nabagia kia laptop na masimumbili kwanfuku.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00040.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0028,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00041.wav,10.36,"Na me shuka audiflani. Eh, baridi. Eh. Anakatu boya kuna pesa. Batu kimoangali aniki jana deadly. Very young guy. Ukim pati asana maybe mid-twenties.","Na me shuka audiflani. Eh, baridi. Eh, eh, eh. Anakatu boya kuna pesa. Batu kimoangali aniki jana deadly. Very young guy. Ukim pati asana maybe mid-twenties.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00041.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0029,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00042.wav,11.37,"So, ui boyatum dogo, e, akashindomaze, ui boyo, mid-twenties maze umeto api gari kamahi na. Onaji ukuna ilesu reina kagaya mitualizali wanda niya pesa. Iina kani pesa ame ipata juzi.","So, ui boyatum dogo, e, akashindomaze, ui boyo, mid-twenties maze umeto api gari kamahi na. Onaji ukuna ilesu reina kagaya mitualizali wanda niya pesa. Iina kani pesa ame ipata juzi.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00042.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0030,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00043.wav,10.59,"Una jwe uko umeku langori, inajkwa ga muda. Hehehehe, inajkwa ga... Like, kamamichi no nasaya konjia kuendaku kuwa milyonea.","Una jwe uko umeku langori, inajkwa ga muda. Hehehehe, hehehehe, inajkwa ga... Like, kamamichi no nasaya konjia kuendaku kuwa milyonea.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00043.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0031,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00044.wav,12.73,"Lakini tam tukwa miyaka tha tindi o, hiu mamba hii kukwani nii toke. Atashka milion sayi lakini diyo sasa akwem smuth, hiu empati ekama miyaka zingine 25-30 habu.","Lakini tam tukwa miyaka tha tindi o, hiu mamba hii kukwani nii toke. Atashka milion sayi lakini diyo sasa akwem smuth, hiu empati ekama miyaka zingine 25-30 habu.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00044.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0032,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00045.wav,12.99,"Uki yangali yu kijana unona, yaa","Uki yangali yu kijana unona, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa, yaa,",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00045.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0033,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00046.wav,13.22,"Wachatu ingi e tupegele biz imetule eta. So wakachukwana na boi wakenda wakengi, wakam kahawapale, na wakakachini, boi akawa ode ambakacha kula, atari ava kule, diyo wengi e biz. But wakariala is, they are the ones doing...","Wachatu ingi e tupegele biz imetule, imetule eta. So wakachukwana na boi wakenda wakengi, wakam kahawapale, na wakakachini, boi akawa ode ambakacha kula, atari atari ava kule, diyo wengi e biz. But wakariala is, they are the ones doing...",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00046.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0034,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00047.wav,11.62,"Most of the talking. This guy is a semi-kitu, like the entire time he's been here, he's not more than 50 words. He's got a smile on his face, he's got a smile on his face, he's got a smile on his face, he's got a smile on his face, he's got a smile on his face.","Most of the talking. This guy is a semi-kitu, like the entire time he's been here, he's not more than 50 words. He's got a smile on his face, he's got a smile on his face, he's got a smile on his face, he's got a smile on his face, he's got a smile on his face.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00047.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0035,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00048.wav,13.11,"Hakona tu simu, anakatu anafanya, fanya tuvi tu apu, hakona simu, kidogo, ane ishika, shika kidizai nivi. At some point ubu uitu akashindomse.","Hakona tu simu simu, anakatu anafanya, fanya tuvi tu apu, hakona simu, kido kidogo, ane ishika, shika kidizai nivi. At some point ubu uitu akashindomse.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00048.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0036,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00049.wav,9.6,"Bueni chance neza kwa na tu rekode. I don't know. Kuna kitu tu off na dimi na yake. But again, wakumboka. Wacha wafane shugli aw.","Bueni chance neza kwa na tu rekode. I don't know. Kuna kitu tu off na dimi na yake. But again, wakumboka. Wacha wafane, wafane shugli aw.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00049.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0037,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00050.wav,13.18,"So wakanza kongi asa sabi asa raju wali onais malto ku boen ka yuku interested sana. So yikako. Okay. Simu yiku api wacha tuchungulie boi weitu wa katoa simu, wuyo boen mone awdi. Akekele asimu zote mbili apo.","So wakanza kongi asa sabi asa raju wali onais malto ku boen ka yuku interested sana. So yikako. Okay. Simu yiku api wacha tu, tuchungulie boi weitu wa katoa simu, wuyo boen mone awdi. Akekele asimu zote mbili apo.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00050.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0038,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00051.wav,13.83,"Before this story is the same as it is in the past, but it is not the same story as it is in the past, but it is the same story as it is in the past. So, it is not actually a software.","Before this story is the same as it is in the past, but it is not the same story as it is in the past, but it is the same story as it is in the past. So, it is not actually a software.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00051.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0039,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00052.wav,11.81,"So kuna bile ako na ability ako upgrade vitu. So kawkona eni electronic nene nida upgrading unan patiya. Leku nezam patiya android use lesana, aende aiyongese Ram.","So kuna bile ako na ability ako upgrade vitu. So kawkona eni electronic nene nida upgrading unan patiya. Leku nezam patiya android use lesana, aende aiyongese Ram.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00052.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0040,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00053.wav,11.86,Aungese features flania ziko nayo model unezapata kuna Android ilitoka maybe 2 years ago haikuwa na AI anezai chuku ayuweke. Like ni deal.,Aungese mafichas flania ziko na yo model unezapata kuna Android dili toka maybe 2 years ago haiku ana AI anezai chuku ayuweke. Like nimde dili.,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00053.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
