pair,original_clip,paired_audio,paired_transcript
43,clip_0042.mp3,audio_43_for_script_43.mp3,transcript_43_for_audio_43.txt
44,clip_0043.mp3,audio_44_for_script_44.mp3,transcript_44_for_audio_44.txt
45,clip_0044.mp3,audio_45_for_script_45.mp3,transcript_45_for_audio_45.txt
46,clip_0045.mp3,audio_46_for_script_46.mp3,transcript_46_for_audio_46.txt
47,clip_0046.mp3,audio_47_for_script_47.mp3,transcript_47_for_audio_47.txt
48,clip_0047.mp3,audio_48_for_script_48.mp3,transcript_48_for_audio_48.txt
49,clip_0048.mp3,audio_49_for_script_49.mp3,transcript_49_for_audio_49.txt
50,clip_0049.mp3,audio_50_for_script_50.mp3,transcript_50_for_audio_50.txt
51,clip_0050.mp3,audio_51_for_script_51.mp3,transcript_51_for_audio_51.txt
52,clip_0051.mp3,audio_52_for_script_52.mp3,transcript_52_for_audio_52.txt
53,clip_0052.mp3,audio_53_for_script_53.mp3,transcript_53_for_audio_53.txt
54,clip_0053.mp3,audio_54_for_script_54.mp3,transcript_54_for_audio_54.txt
55,clip_0054.mp3,audio_55_for_script_55.mp3,transcript_55_for_audio_55.txt
56,clip_0055.mp3,audio_56_for_script_56.mp3,transcript_56_for_audio_56.txt
57,clip_0056.mp3,audio_57_for_script_57.mp3,transcript_57_for_audio_57.txt
58,clip_0057.mp3,audio_58_for_script_58.mp3,transcript_58_for_audio_58.txt
59,clip_0058.mp3,audio_59_for_script_59.mp3,transcript_59_for_audio_59.txt
60,clip_0059.mp3,audio_60_for_script_60.mp3,transcript_60_for_audio_60.txt
61,clip_0060.mp3,audio_61_for_script_61.mp3,transcript_61_for_audio_61.txt
62,clip_0061.mp3,audio_62_for_script_62.mp3,transcript_62_for_audio_62.txt
63,clip_0062.mp3,audio_63_for_script_63.mp3,transcript_63_for_audio_63.txt
64,clip_0063.mp3,audio_64_for_script_64.mp3,transcript_64_for_audio_64.txt
65,clip_0064.mp3,audio_65_for_script_65.mp3,transcript_65_for_audio_65.txt
66,clip_0065.mp3,audio_66_for_script_66.mp3,transcript_66_for_audio_66.txt
67,clip_0066.mp3,audio_67_for_script_67.mp3,transcript_67_for_audio_67.txt
68,clip_0067.mp3,audio_68_for_script_68.mp3,transcript_68_for_audio_68.txt
69,clip_0068.mp3,audio_69_for_script_69.mp3,transcript_69_for_audio_69.txt
70,clip_0069.mp3,audio_70_for_script_70.mp3,transcript_70_for_audio_70.txt
71,clip_0070.mp3,audio_71_for_script_71.mp3,transcript_71_for_audio_71.txt
72,clip_0071.mp3,audio_72_for_script_72.mp3,transcript_72_for_audio_72.txt
73,clip_0072.mp3,audio_73_for_script_73.mp3,transcript_73_for_audio_73.txt
74,clip_0073.mp3,audio_74_for_script_74.mp3,transcript_74_for_audio_74.txt
75,clip_0074.mp3,audio_75_for_script_75.mp3,transcript_75_for_audio_75.txt
76,clip_0075.mp3,audio_76_for_script_76.mp3,transcript_76_for_audio_76.txt
77,clip_0076.mp3,audio_77_for_script_77.mp3,transcript_77_for_audio_77.txt
78,clip_0077.mp3,audio_78_for_script_78.mp3,transcript_78_for_audio_78.txt
79,clip_0078.mp3,audio_79_for_script_79.mp3,transcript_79_for_audio_79.txt
80,clip_0079.mp3,audio_80_for_script_80.mp3,transcript_80_for_audio_80.txt
81,clip_0080.mp3,audio_81_for_script_81.mp3,transcript_81_for_audio_81.txt
82,clip_0081.mp3,audio_82_for_script_82.mp3,transcript_82_for_audio_82.txt
83,clip_0082.mp3,audio_83_for_script_83.mp3,transcript_83_for_audio_83.txt
84,clip_0083.mp3,audio_84_for_script_84.mp3,transcript_84_for_audio_84.txt
85,clip_0084.mp3,audio_85_for_script_85.mp3,transcript_85_for_audio_85.txt
86,clip_0085.mp3,audio_86_for_script_86.mp3,transcript_86_for_audio_86.txt
87,clip_0086.mp3,audio_87_for_script_87.mp3,transcript_87_for_audio_87.txt
88,clip_0087.mp3,audio_88_for_script_88.mp3,transcript_88_for_audio_88.txt
89,clip_0088.mp3,audio_89_for_script_89.mp3,transcript_89_for_audio_89.txt
90,clip_0089.mp3,audio_90_for_script_90.mp3,transcript_90_for_audio_90.txt
91,clip_0090.mp3,audio_91_for_script_91.mp3,transcript_91_for_audio_91.txt
92,clip_0091.mp3,audio_92_for_script_92.mp3,transcript_92_for_audio_92.txt
93,clip_0092.mp3,audio_93_for_script_93.mp3,transcript_93_for_audio_93.txt
94,clip_0093.mp3,audio_94_for_script_94.mp3,transcript_94_for_audio_94.txt
95,clip_0094.mp3,audio_95_for_script_95.mp3,transcript_95_for_audio_95.txt
96,clip_0095.mp3,audio_96_for_script_96.mp3,transcript_96_for_audio_96.txt
97,clip_0096.mp3,audio_97_for_script_97.mp3,transcript_97_for_audio_97.txt
98,clip_0097.mp3,audio_98_for_script_98.mp3,transcript_98_for_audio_98.txt
99,clip_0098.mp3,audio_99_for_script_99.mp3,transcript_99_for_audio_99.txt
100,clip_0099.mp3,audio_100_for_script_100.mp3,transcript_100_for_audio_100.txt
101,clip_0100.mp3,audio_101_for_script_101.mp3,transcript_101_for_audio_101.txt
102,clip_0101.mp3,audio_102_for_script_102.mp3,transcript_102_for_audio_102.txt
103,clip_0102.mp3,audio_103_for_script_103.mp3,transcript_103_for_audio_103.txt
104,clip_0103.mp3,audio_104_for_script_104.mp3,transcript_104_for_audio_104.txt
105,clip_0104.mp3,audio_105_for_script_105.mp3,transcript_105_for_audio_105.txt
106,clip_0105.mp3,audio_106_for_script_106.mp3,transcript_106_for_audio_106.txt
107,clip_0106.mp3,audio_107_for_script_107.mp3,transcript_107_for_audio_107.txt
108,clip_0107.mp3,audio_108_for_script_108.mp3,transcript_108_for_audio_108.txt
109,clip_0108.mp3,audio_109_for_script_109.mp3,transcript_109_for_audio_109.txt
110,clip_0109.mp3,audio_110_for_script_110.mp3,transcript_110_for_audio_110.txt
111,clip_0110.mp3,audio_111_for_script_111.mp3,transcript_111_for_audio_111.txt
112,clip_0111.mp3,audio_112_for_script_112.mp3,transcript_112_for_audio_112.txt
113,clip_0112.mp3,audio_113_for_script_113.mp3,transcript_113_for_audio_113.txt
114,clip_0113.mp3,audio_114_for_script_114.mp3,transcript_114_for_audio_114.txt
115,clip_0114.mp3,audio_115_for_script_115.mp3,transcript_115_for_audio_115.txt
116,clip_0115.mp3,audio_116_for_script_116.mp3,transcript_116_for_audio_116.txt
117,clip_0116.mp3,audio_117_for_script_117.mp3,transcript_117_for_audio_117.txt
118,clip_0117.mp3,audio_118_for_script_118.mp3,transcript_118_for_audio_118.txt
119,clip_0118.mp3,audio_119_for_script_119.mp3,transcript_119_for_audio_119.txt
120,clip_0119.mp3,audio_120_for_script_120.mp3,transcript_120_for_audio_120.txt
121,clip_0120.mp3,audio_121_for_script_121.mp3,transcript_121_for_audio_121.txt
122,clip_0121.mp3,audio_122_for_script_122.mp3,transcript_122_for_audio_122.txt
123,clip_0122.mp3,audio_123_for_script_123.mp3,transcript_123_for_audio_123.txt
