id,audio_filepath,duration,clean_sheng_text,normalized_text,language
sheng_clip_00020,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00019.wav,2.7,rock it with pride okay,rock it with pride okay,sw-KE
sheng_clip_00021,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00020.wav,12.65,nyambu unapointiwa pointiwa sana nyambu mnasema hii alishika imekuwa ngozi hatoi hatoi analala nayo,nyambu unapointiwa pointiwa sana nyambu mnasema hii alishika imekuwa ngozi hatoi hatoi analala nayo,sw-KE
sheng_clip_00023,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00022.wav,13.61,ah nyambu wewe usiambiwe we piga eeh piga kwani ai kwani iko nini ah very nice okay now hii episode ya leo in fact,ah nyambu wewe usiambiwe we piga eeh piga kwani ai kwani iko nini ah very nice okay now hii episode ya leo in fact,sw-KE
sheng_clip_00024,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00023.wav,10.78,nimeipitia walai siiamini watu wangu wa tech niambieni kama hizi vitu ni possible juu mimi ai nilikua nimefika mahali nikaanza kuona hii si jaba ei,nimeipitia walai siiamini watu wangu wa tech niambieni kama hizi vitu ni possible juu mimi ai nilikua nimefika mahali nikaanza kuona hii si jaba ei,sw-KE
sheng_clip_00025,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00024.wav,11.08,juu ei kuna vitu mtu watu wetu wamefanyiwa hapa maajabu na juu najua niko na watu wa tech hatari sana in fact anytime site ikiwa nakanoma kidogo kuna tu kikosi ya tech ya wakurugenzi,juu ei kuna vitu mtu watu wetu wamefanyiwa hapa maajabu na juu najua niko na watu wa tech hatari sana in fact anytime site ikiwa nakanoma kidogo kuna tu kikosi ya tech ya wakurugenzi,sw-KE
sheng_clip_00027,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00026.wav,6.08,nyinyi niambieni kama hii kitu ni possible kama ni possible watu tu wakuwe careful hapa nje so kuna boy fulani,nyinyi niambieni kama hii kitu ni possible kama ni possible watu tu wakuwe careful hapa nje so kuna boy fulani,sw-KE
sheng_clip_00028,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00027.wav,8.34,amemaliza chuo fiti i think ameingia campo amepiga maengineering zake safi aamemaliza lakini si unajua situation vile iko kazi kidogo tricky,amemaliza chuo fiti i think ameingia campo amepiga maengineering zake safi aamemaliza lakini si unajua situation vile iko kazi kidogo tricky,sw-KE
sheng_clip_00029,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00028.wav,11.97,so siku moja akiwa amebangaiza bangaiza pale one of his uncles anakam na ni uncle anapenda mbaya unajua kila familia inakuanga na ule anko fulani anakuwanga kaa kwetu si mnajua huyo uncle ni nani,so siku moja akiwa amebangaiza bangaiza pale one of his uncles anakam na ni uncle anapenda mbaya unajua kila familia inakuanga na ule anko fulani anakuwanga kaa kwetu si mnajua huyo uncle ni nani,sw-KE
sheng_clip_00030,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00029.wav,11.7,yeye akitokeyanga ah mnajua ei uncle wa mafom okay so uncle akakam akam akamshow jo ei mtu yangu,yeye akitokeyanga ah mnajua ei uncle wa mafom okay so uncle akakam akam akamshow jo ei mtu yangu,sw-KE
sheng_clip_00033,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00032.wav,13.47,anapretend anataka kununua simu then kidogo kidogo sijui ameenda kutafuta wi fi wapi shwaa ameenda so hiyo ndio shughuli uncle amekuwa akipiga na amekuwa akivuna mbaya juu yeye anatartget high end phones especially android,anapretend anataka kununua simu then kidogo kidogo sijui ameenda kutafuta wi fi wapi shwaa ameenda so hiyo ndio shughuli uncle amekuwa akipiga na amekuwa akivuna mbaya juu yeye anatartget high end phones especially android,sw-KE
sheng_clip_00034,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00033.wav,12.38,so sijui kama anaziuza for parts ama nini eh but eh eh alikuwa amekimbiza wasee alikuwa anaishi fiti sana gari mbili hao poa it is two bedroom lakini ako pekee yake na ni spacious yaani alikuwa anastay poa,so sijui kama anaziuza for parts ama nini eh but eh eh alikuwa amekimbiza wasee alikuwa anaishi fiti sana gari mbili hao poa it is two bedroom lakini ako pekee yake na ni spacious yaani alikuwa anastay poa,sw-KE
sheng_clip_00035,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00034.wav,11.97,so huyu kijana akaona ile maisha huyu jamaa anaishi aka hata mimi nataka so that is how he was recruited so akaingia hiyo shugli na walikuwa wanapiga hiyo nini na yeye na walikuwa wanavuna dedli utapata in a week wamelalisha kitu kama mia mbili,so huyu kijana akaona ile maisha huyu jamaa anaishi aka hata mimi nataka so that is how he was recruited so akaingia hiyo shugli na walikuwa wanapiga hiyo nini na yeye na walikuwa wanavuna dedli utapata in a week wamelalisha kitu kama mia mbili,sw-KE
sheng_clip_00036,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00035.wav,11.01,eh like ukikaa mbaya wiki mojata hata zaidi wanaingiza so hiyo ndio ikakuwanga routine mpaka pale home mahali huyu kijana wetu mdogo ametoka,eh like ukikaa mbaya wiki mojata hata zaidi wanaingiza so hiyo ndio ikakuwanga routine mpaka pale home mahali huyu kijana wetu mdogo ametoka,sw-KE
sheng_clip_00037,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00036.wav,10.78,watu wakaanza kunotice ei boi wetu mambo yake imemfungukia ei ya kuna vile tu ako sawa so siku moja manze wameingia shughuli kama kawa wameingia kwa mtandao,watu wakaanza kunotice ei boi wetu mambo yake imemfungukia ei ya kuna vile tu ako sawa so siku moja manze wameingia shughuli kama kawa wameingia kwa mtandao,sw-KE
sheng_clip_00039,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00038.wav,11.6,ama ni fifteen i think ni fourteen ilikuwa juu so alikuwa anauza hiyo na samsung ya hiyo time sijui ni s twenty what ilikuwa 2014 ah si 2014 ni 2024 sorry 2024,ama ni fifteen i think ni fourteen ilikuwa juu so alikuwa anauza hiyo na samsung ya hiyo time sijui ni s twenty what ilikuwa 2014 ah si 2014 ni 2024 sorry 2024,sw-KE
sheng_clip_00040,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00039.wav,13.93,so wameenda wameorganize fiti meeting wamekutana then mahali wanakutaka ilikuwa somewhere hapa thika road so sijui walikuwa wanaingia hoteli iko ndani ya mall yeah i think vile ndani ya mall kunakuwanga na nini kwa food court,so wameenda wameorganize fiti meeting wamekutana then mahali wanakutaka ilikuwa somewhere hapa thika road so sijui walikuwa wanaingia hoteli iko ndani ya mall yeah i think vile ndani ya mall kunakuwanga na nini kwa food court,sw-KE
sheng_clip_00041,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00040.wav,11.04,i think so ama ama the hotel inakuwanga hapa chini kwa ground floor so wamekutana pale manze kwanza hawa maboi wetu wakaona huyo jamaa akishuka na bag yake ya laptop na masimu mbili kwa mfuko i think so,i think so ama ama the hotel inakuwanga hapa chini kwa ground floor so wamekutana pale manze kwanza hawa maboi wetu wakaona huyo jamaa akishuka na bag yake ya laptop na masimu mbili kwa mfuko i think so,sw-KE
sheng_clip_00042,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00041.wav,10.36,na na ameshuka audi fulani ei baridi anakaa tu boi ako na pesa but ukimwangalia ni kijana deadly very young guy ukimpatia sana maybe mid twenties,na na ameshuka audi fulani ei baridi anakaa tu boi ako na pesa but ukimwangalia ni kijana deadly very young guy ukimpatia sana maybe mid twenties,sw-KE
sheng_clip_00043,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00042.wav,11.37,so huyu boi wetu mdogo ei akashindwa manze huyu boi mid twenties manze umetoa wapi gari kama hii na unajua kuna sura inakaanga ya mtu amezaliwa ndani ya pesa hii inakaa kama pesa ameipata juzi,so huyu boi wetu mdogo ei akashindwa manze huyu boi mid twenties manze umetoa wapi gari kama hii na unajua kuna sura inakaanga ya mtu amezaliwa ndani ya pesa hii inakaa kama pesa ameipata juzi,sw-KE
sheng_clip_00044,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00043.wav,10.59,unajua ukiwa umekula ngori inachukuanga muda eh inachukuanga like like kama michi unaona sahi ako njia ya kuenda kukuwa millionaire,unajua ukiwa umekula ngori inachukuanga muda eh inachukuanga like like kama michi unaona sahi ako njia ya kuenda kukuwa millionaire,sw-KE
sheng_clip_00045,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00044.wav,12.73,lakini itamchukua miaka thirty ndio hii umamba iko kwa nini itoke yaani atashika millions sahi lakini ndio sasa akuwe msmooth hiyo mmaptie miaka zingine kama twenty five thirty hapo,lakini itamchukua miaka thirty ndio hii umamba iko kwa nini itoke yaani atashika millions sahi lakini ndio sasa akuwe msmooth hiyo mmaptie miaka zingine kama twenty five thirty hapo,sw-KE
sheng_clip_00046,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00045.wav,12.99,ukiangalia huyu kijana unaona yeah yeah huyu alikula shida at some point but vile anamove sahi noma but he is still young so boi wetu alianza kupata kiwewe kidogo juu alikuwa anashindwa kwani huyu boi yeye huduu nini but anyway,ukiangalia huyu kijana unaona yeah yeah huyu alikula shida at some point but vile anamove sahi noma but he is still young so boi wetu alianza kupata kiwewe kidogo juu alikuwa anashindwa kwani huyu boi yeye huduu nini but anyway,sw-KE
sheng_clip_00047,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00046.wav,13.22,wacha tuingie tupige ile biz yenye imetu imetuleta so wakachukuana na boi wakaaenda wakaingia kwa mkahawa pale na wakakaa chini na boi akawaodea mpaka chakula hatari hatari hapo wakule ndio waingie biz but wakarealize they are the ones doing,wacha tuingie tupige ile biz yenye imetu imetuleta so wakachukuana na boi wakaaenda wakaingia kwa mkahawa pale na wakakaa chini na boi akawaodea mpaka chakula hatari hatari hapo wakule ndio waingie biz but wakarealize they are the ones doing,sw-KE
sheng_clip_00048,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00047.wav,11.62,most of the talking this guy hasemi kitu like the entire time wamekuwa hapo aliongea not more than fifty words yeye kazi yake tu ni kusmile eh anawaskiza ako na laptop yake hapa juu ya meza,most of the talking this guy hasemi kitu like the entire time wamekuwa hapo aliongea not more than fifty words yeye kazi yake tu ni kusmile eh anawaskiza ako na laptop yake hapa juu ya meza,sw-KE
sheng_clip_00049,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00048.wav,13.11,ako na tusimu simu anakaa tu anafanya fanya tuvitu hapo haya ako na simu kidogo kidogo anaishika shika kidesign hivi at some point huyu boi wetu aka akashindwa huyu msee,ako na tusimu simu anakaa tu anafanya fanya tuvitu hapo haya ako na simu kidogo kidogo anaishika shika kidesign hivi at some point huyu boi wetu aka akashindwa huyu msee,sw-KE
sheng_clip_00050,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00049.wav,9.6,by any chance anaweza kuwa anaturecord i do not know lakini kuna kitu tu off na demeanor yake but again wako mboka wacha wafanye shughuli yao,by any chance anaweza kuwa anaturecord i do not know lakini kuna kitu tu off na demeanor yake but again wako mboka wacha wafanye shughuli yao,sw-KE
sheng_clip_00051,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00050.wav,13.18,so wakaanza kuongea sasa biashara juu waliona hii small talk huyu boi ni kama hayuko interested sana so ikakua ok simu iko wapi wacha tuchungulie boi wetu akatoa simu huyo boi mwenye audi akawekelea simu zote mbili hapo but,so wakaanza kuongea sasa biashara juu waliona hii small talk huyu boi ni kama hayuko interested sana so ikakua ok simu iko wapi wacha tuchungulie boi wetu akatoa simu huyo boi mwenye audi akawekelea simu zote mbili hapo but,sw-KE
sheng_clip_00052,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00051.wav,13.83,before hii story ya simu kwanza iingie akiulizwa tu yeye huduu nini akasema yeye huwanga ameiva story ya hardware actually software pia,before hii story ya simu kwanza iingie akiulizwa tu yeye huduu nini akasema yeye huwanga ameiva story ya hardware actually software pia,sw-KE
sheng_clip_00053,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00052.wav,11.81,so kuna vile ana yeye hu ako na ability ya kuupgrade vitu so kama uko na any electronic na inaneed upgrading unampatia like unaweza mpatia android useless sana aende aongeze ram,so kuna vile ana yeye hu ako na ability ya kuupgrade vitu so kama uko na any electronic na inaneed upgrading unampatia like unaweza mpatia android useless sana aende aongeze ram,sw-KE
sheng_clip_00054,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00053.wav,11.86,aongeze mafeatures fulani haziko na hio model unaweza pata kuna android ilitoka maybe two years ago haikuwa na ai anaweza ichukua aiweke like ni mdeadly,aongeze mafeatures fulani haziko na hio model unaweza pata kuna android ilitoka maybe two years ago haikuwa na ai anaweza ichukua aiweke like ni mdeadly,sw-KE
sheng_clip_00055,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00054.wav,12.13,anajua his way around story za tech in fact boi wetu huyu kijana akiwa na uncle yake hapo akaambia msee kama hivo ndio wewe huduu,anajua his way around story za tech in fact boi wetu huyu kijana akiwa na uncle yake hapo akaambia msee kama hivo ndio wewe huduu,sw-KE
sheng_clip_00056,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00055.wav,13.04,simu yangu haiko up to date fiti unaweza niongezea ram juu mimi hupiga piga tuvideo sana na tupicha unaweza niongezea ram tucheki na jamaa akachukua akaiconnect na laptop hapo haraka faster akafanya mabo yake as wanaongea wakikula,simu yangu haiko up to date fiti unaweza niongezea ram juu mimi hupiga piga tuvideo sana na tupicha unaweza niongezea ram tucheki na jamaa akachukua akaiconnect na laptop hapo haraka faster akafanya mabo yake as wanaongea wakikula,sw-KE
sheng_clip_00057,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00056.wav,11.7,na walai akaongezea ram first of all ni possible mimi nilidhani simu ukishauziwa kama ram iko hapo iko hapo mimi sikujua kuna vile unaweza ingiza mavitu ufanye fanye mambo uongeze ram kwa simu,na walai akaongezea ram first of all ni possible mimi nilidhani simu ukishauziwa kama ram iko hapo iko hapo mimi sikujua kuna vile unaweza ingiza mavitu ufanye fanye mambo uongeze ram kwa simu,sw-KE
sheng_clip_00058,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00057.wav,11.29,so watu wangu wa tech niambieni ni ukweli ama mwenye hii story anani okay so hiyo shugli ikaisha wakaingia ile story ya simu sasa nilikuwa nimefika hapo sasa wameingia kwa simu,so watu wangu wa tech niambieni ni ukweli ama mwenye hii story anani okay so hiyo shugli ikaisha wakaingia ile story ya simu sasa nilikuwa nimefika hapo sasa wameingia kwa simu,sw-KE
sheng_clip_00059,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00058.wav,12.77,si hawa watu wetu mtu na uncle yake wanataka kununa simu za huyu jamaa so wakacheki zote mbili wakaona ile android ikawabamba so huyu uncle akasema anataka kuenda kuingia internet ndio aingie ndani fit,si hawa watu wetu mtu na uncle yake wanataka kununa simu za huyu jamaa so wakacheki zote mbili wakaona ile android ikawabamba so huyu uncle akasema anataka kuenda kuingia internet ndio aingie ndani fit,sw-KE
sheng_clip_00060,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00059.wav,10.01,na boy wetu akakubali jamaa akaenda akauliza uliza huko pale internet ni kama haikuwa fiti akarudi akaambia mwenye simu ah hapa internet ni kama ni tricky,na boy wetu akakubali jamaa akaenda akauliza uliza huko pale internet ni kama haikuwa fiti akarudi akaambia mwenye simu ah hapa internet ni kama ni tricky,sw-KE
sheng_clip_00061,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00060.wav,13.82,boi wetu ni msee amejipanga huyu mwingine mwenye anauza simu akaingia kwa bag akatoa pocket wi fi akamwambia nikona hii unataka kujaribu na hii uncle akakata akasema hapana wacha nitafute place ingine niconnect mbio mbio,boi wetu ni msee amejipanga huyu mwingine mwenye anauza simu akaingia kwa bag akatoa pocket wi fi akamwambia nikona hii unataka kujaribu na hii uncle akakata akasema hapana wacha nitafute place ingine niconnect mbio mbio,sw-KE
sheng_clip_00062,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00061.wav,10.28,then nitakam sasa tumalizie hii kitu na huyu mwenye anauza simu akamwacha sawa enda ukafanye mambo yako uncle akatoka na simu na hivo ndio alizidi,then nitakam sasa tumalizie hii kitu na huyu mwenye anauza simu akamwacha sawa enda ukafanye mambo yako uncle akatoka na simu na hivo ndio alizidi,sw-KE
sheng_clip_00063,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00062.wav,11.21,huyu kijana wetu anafaa atafute mbinu ajitoe sababu hiyo simu vile imeenda na uncle hairudi hiyo imeenda so boi wetu akatulia wanapiga piga tu small talk hapa nini,huyu kijana wetu anafaa atafute mbinu ajitoe sababu hiyo simu vile imeenda na uncle hairudi hiyo imeenda so boi wetu akatulia wanapiga piga tu small talk hapa nini,sw-KE
sheng_clip_00064,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00063.wav,10.25,at some point huyu mwenye anauza simu akadiscover na ule uncle alienda na simu si amekawia sana kwani rada yake ni gani so huyu boi wetu ako hapo tu haina mambo i think atarudi tu usikue na pressure,at some point huyu mwenye anauza simu akadiscover na ule uncle alienda na simu si amekawia sana kwani rada yake ni gani so huyu boi wetu ako hapo tu haina mambo i think atarudi tu usikue na pressure,sw-KE
sheng_clip_00065,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00064.wav,13.95,so huyu mwenye anauza simu akajitoa kidogo akamwambia sawa wacha basi ningie washroom kiasi then nitakam now unaona hii laptop alikuwa anafanya fanya nayo vitu manze ni expensive kuruka huyu boi wetu akiwa hapa aliisearch kwa mtandao ni expensive,so huyu mwenye anauza simu akajitoa kidogo akamwambia sawa wacha basi ningie washroom kiasi then nitakam now unaona hii laptop alikuwa anafanya fanya nayo vitu manze ni expensive kuruka huyu boi wetu akiwa hapa aliisearch kwa mtandao ni expensive,sw-KE
